bioguide_id,source,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count
C001090,newsletters,0,2,13,0,24,0,12
C001091,floor,0,0,0,0,2,0,1
C001091,newsletters,0,2,6,0,19,0,7
C001091,tweets,2,0,0,2,0,0,0
C001095,tweets,1,0,0,1,0,0,0
C001096,floor,2,0,0,0,0,0,0
C001096,newsletters,0,0,3,0,7,1,5
C001096,statements,2,0,0,0,6,0,3
C001096,tweets,1,0,2,1,2,0,2
C001097,floor,2,0,4,0,4,0,2
C001097,newsletters,2,0,2,0,14,0,6
C001097,tweets,1,0,0,1,1,0,0
C001098,floor,2,3,0,0,15,5,8
C001098,newsletters,40,8,30,14,54,12,25
C001098,statements,13,9,0,9,2,0,0
C001098,tweets,3,0,1,1,10,1,3
C001101,floor,4,0,0,0,4,0,1
C001101,newsletters,3,0,6,1,19,0,4
C001101,tweets,2,0,0,0,1,0,0
C001103,floor,0,0,0,0,2,1,2
C001103,newsletters,25,12,22,1,174,15,67
C001103,tweets,1,0,1,1,5,0,4
C001108,floor,0,0,0,0,0,0,0
C001108,tweets,1,0,0,0,1,0,0
C001110,floor,0,0,0,0,4,0,3
C001110,newsletters,2,2,6,0,55,0,14
C001110,tweets,0,0,0,0,0,0,0
C001112,floor,1,1,0,0,6,0,2
C001112,tweets,1,0,2,0,5,0,2
C001113,floor,0,0,0,0,0,0,0
C001113,tweets,1,1,2,0,7,0,5
C001114,floor,1,1,1,0,8,4,6
C001114,newsletters,2,3,5,0,33,14,18
C001114,tweets,0,0,0,0,0,0,0
C001115,floor,0,0,0,0,0,0,0
C001115,newsletters,16,1,3,1,32,6,8
C001115,tweets,1,0,0,0,1,0,0
C001116,newsletters,105,2,15,16,62,1,31
C001116,tweets,5,0,2,12,9,9,5
C001117,floor,1,0,0,1,5,0,1
C001117,newsletters,0,0,0,0,0,0,0
C001117,tweets,2,0,0,0,3,0,1
C001118,floor,5,0,2,1,10,0,6
C001118,newsletters,30,0,13,1,58,9,24
C001118,tweets,2,0,0,0,1,0,1
C001119,newsletters,0,6,11,0,22,2,9
C001119,tweets,2,0,0,0,5,0,1
C001120,newsletters,19,5,3,8,42,6,11
C001120,statements,0,4,2,0,10,0,7
C001120,tweets,0,0,0,0,0,0,0
C001121,floor,0,0,0,0,1,0,0
C001121,newsletters,0,2,8,0,15,0,11
C001121,tweets,3,0,0,1,1,0,0
C001125,floor,0,4,0,0,4,0,3
C001125,newsletters,0,0,0,0,0,0,0
C001125,tweets,2,1,4,0,7,0,5
C001126,floor,0,0,0,0,0,0,1
C001126,tweets,0,0,1,0,2,0,2
C001127,floor,7,4,0,2,12,3,4
C001129,floor,7,0,8,1,34,9,25
C001130,floor,4,0,1,1,2,0,0
C001130,newsletters,4,1,12,0,31,1,10
C001131,floor,1,0,0,0,4,0,2
C001131,newsletters,8,0,2,0,42,0,15
C001132,floor,1,0,0,0,9,8,5
C001132,newsletters,75,5,18,16,119,14,67
C001133,floor,0,0,1,0,0,0,0
C001133,newsletters,1,2,16,0,15,3,10
C001134,floor,0,2,0,0,3,0,2
C001135,floor,0,0,0,0,1,0,1
D000032,floor,0,2,0,0,5,0,6
D000032,newsletters,48,20,38,7,257,25,126
D000032,tweets,11,0,3,3,11,1,4
D000096,floor,2,0,6,0,48,0,19
D000096,tweets,0,0,0,0,0,0,0
D000197,newsletters,5,2,4,0,29,2,13
D000197,statements,0,0,0,0,0,0,0
D000197,tweets,0,0,0,0,0,0,0
D000216,floor,5,1,0,0,13,1,6
D000230,floor,0,1,2,0,7,1,6
D000230,newsletters,0,7,7,0,20,0,7
D000399,tweets,6,0,1,2,8,1,2
D000530,floor,0,0,0,0,1,1,2
D000530,newsletters,9,2,2,1,30,0,10
D000563,floor,16,12,5,0,61,34,51
D000563,newsletters,12,0,0,0,23,6,7
D000563,statements,2,0,0,0,13,0,3
D000563,tweets,2,1,0,1,5,0,3
D000594,newsletters,1,4,17,0,95,18,54
D000600,newsletters,2,5,4,2,43,21,25
D000600,tweets,0,0,0,0,0,0,0
D000615,floor,0,0,0,0,0,0,0
D000615,newsletters,50,1,17,8,95,10,46
D000615,tweets,0,0,0,0,1,0,0
D000617,newsletters,3,1,6,0,24,0,9
D000617,tweets,1,0,2,0,3,0,1
D000618,floor,4,1,1,0,8,5,5
D000618,newsletters,0,1,2,0,4,0,2
D000618,tweets,3,0,0,1,4,0,1
D000622,floor,1,1,0,0,3,2,1
D000622,statements,0,0,3,0,4,0,0
D000622,tweets,0,0,0,0,1,0,0
D000623,floor,3,1,2,0,12,0,5
D000623,newsletters,9,2,14,9,53,0,36
D000623,tweets,0,0,0,0,0,0,0
D000624,floor,2,0,0,0,4,0,4
D000624,newsletters,8,25,15,0,150,8,45
D000624,tweets,0,0,0,0,2,0,1
D000626,floor,0,0,0,0,0,0,0
D000626,newsletters,18,4,15,1,59,27,47
D000626,tweets,0,0,0,0,7,0,2
D000628,floor,0,0,1,0,13,1,10
D000628,newsletters,8,1,6,1,42,8,30
D000628,statements,70,34,19,54,74,33,45
D000628,tweets,1,0,0,0,2,0,0
D000629,newsletters,1,12,16,0,28,0,13
D000629,tweets,0,0,1,0,3,0,1
D000631,floor,1,0,1,0,11,0,2
D000631,newsletters,0,3,3,0,5,1,2
D000631,tweets,0,0,0,0,1,0,0
D000632,floor,5,2,7,0,16,0,10
D000632,newsletters,4,2,5,0,16,4,4
D000633,floor,0,2,0,0,7,0,2
D000633,newsletters,2,17,37,0,82,2,56
E000071,newsletters,0,1,7,0,16,2,13
E000071,tweets,0,0,0,0,1,0,0
E000215,floor,0,1,3,0,6,0,4
E000215,newsletters,9,4,21,0,88,7,58
E000215,tweets,0,0,0,0,0,0,0
E000235,newsletters,3,1,4,1,20,1,8
E000246,floor,0,0,0,0,0,0,0
E000246,newsletters,0,0,0,0,0,0,0
E000294,newsletters,11,1,9,0,33,3,17
E000294,tweets,3,0,1,0,7,0,3
E000295,floor,0,0,0,0,0,0,0
E000295,newsletters,6,5,5,0,34,13,13
E000295,tweets,2,1,1,0,2,0,1
E000296,floor,0,0,0,0,0,0,0
E000296,newsletters,0,0,2,0,2,0,2
E000296,tweets,0,0,0,0,0,0,0
E000297,floor,0,0,0,0,0,0,0
E000297,newsletters,4,7,24,0,282,19,115
E000297,tweets,4,0,0,20,3,18,0
E000298,floor,3,1,1,1,7,0,3
E000298,newsletters,1,0,0,0,4,0,0
E000298,tweets,0,0,0,0,1,1,0
E000299,floor,3,1,1,0,11,3,4
E000299,newsletters,13,5,24,2,76,8,45
E000299,tweets,1,1,0,1,3,0,1
F000062,floor,0,6,0,0,61,1,37
F000062,statements,0,0,7,0,4,2,0
F000062,tweets,0,0,0,0,0,0,0
F000246,floor,0,0,0,0,1,3,0
F000246,tweets,1,0,0,0,1,0,0
F000446,floor,0,0,1,0,4,0,2
F000446,newsletters,10,0,32,0,89,15,50
F000446,tweets,5,1,2,1,9,1,3
F000450,floor,20,0,0,2,35,0,13
F000450,newsletters,31,0,4,0,45,12,17
F000450,statements,11,1,1,3,12,1,9
F000450,tweets,0,0,0,0,0,0,0
F000454,floor,0,0,0,0,0,0,0
F000454,newsletters,0,0,1,0,3,0,2
F000454,tweets,0,0,1,0,2,1,1
F000459,tweets,2,0,1,0,4,0,3
F000462,floor,2,0,0,1,2,0,2
F000462,tweets,0,0,1,0,1,0,0
F000463,floor,2,0,1,0,5,12,3
F000463,newsletters,1,0,1,0,10,0,7
F000463,tweets,0,0,0,0,2,0,0
F000465,newsletters,22,3,10,0,53,24,24
F000465,tweets,0,0,0,0,1,0,1
F000466,floor,0,1,1,0,6,0,7
F000466,newsletters,0,17,5,0,32,3,22
F000466,statements,0,3,2,0,6,0,6
F000466,tweets,0,1,0,0,0,0,0
F000468,newsletters,6,16,21,0,119,21,96
F000468,tweets,0,0,2,0,1,0,1
F000469,floor,0,1,0,0,12,0,11
F000469,newsletters,2,0,2,0,20,1,10
F000469,tweets,0,0,0,0,0,0,0
F000470,floor,0,0,0,0,0,0,0
F000470,newsletters,11,0,5,1,31,9,16
F000470,tweets,1,0,0,0,4,0,2
F000471,newsletters,11,2,16,0,54,9,38
F000471,tweets,0,0,2,0,4,0,3
F000472,newsletters,0,0,3,0,8,0,6
F000472,tweets,0,0,0,0,0,0,0
F000474,floor,0,0,1,0,15,0,7
F000475,floor,0,0,0,0,0,0,0
F000477,floor,2,1,0,0,8,0,1
F000477,newsletters,0,0,1,0,7,0,2
F000478,newsletters,6,0,1,0,5,0,2
G000061,newsletters,5,2,18,3,20,11,7
G000061,tweets,0,0,0,0,0,0,0
G000377,floor,0,2,4,0,7,0,9
G000377,newsletters,4,0,1,0,7,1,2
G000377,tweets,0,0,0,0,0,0,0
G000386,floor,22,5,6,0,25,0,11
G000386,newsletters,9,7,12,0,48,5,32
G000386,tweets,0,0,0,0,1,0,1
G000546,floor,4,17,5,2,53,1,55
G000546,newsletters,1,0,0,0,7,0,0
G000546,statements,25,9,16,0,79,0,23
G000551,floor,27,0,2,3,52,0,22
G000551,newsletters,2,0,10,0,41,2,15
G000551,statements,4,0,0,0,7,0,0
G000551,tweets,1,0,0,1,1,0,0
G000553,floor,39,5,4,26,28,0,15
G000553,newsletters,1,2,5,1,21,0,8
G000553,statements,0,0,0,0,0,0,0
G000553,tweets,0,0,0,0,1,0,0
G000555,floor,0,1,1,0,3,0,4
G000555,newsletters,1,5,38,0,68,2,33
G000555,tweets,0,1,2,0,0,0,0
G000558,newsletters,0,0,7,0,9,1,6
G000558,tweets,0,0,0,0,1,0,1
G000559,floor,1,2,5,0,24,2,19
G000559,newsletters,4,2,12,1,34,3,17
G000565,floor,10,1,0,4,41,14,11
G000565,newsletters,307,9,26,153,279,123,85
G000565,tweets,0,0,0,0,1,0,0
G000568,floor,0,0,1,0,0,0,0
G000568,newsletters,65,2,8,4,148,4,44
G000568,statements,290,198,40,209,279,3,128
G000568,tweets,0,0,0,0,1,0,0
G000574,floor,5,0,0,0,20,6,17
G000574,newsletters,1,1,1,0,13,0,6
G000574,tweets,0,0,1,0,3,0,2
G000576,floor,46,2,0,23,74,12,4
G000576,newsletters,15,2,11,1,72,11,39
G000576,tweets,1,0,0,0,1,0,0
G000577,floor,0,3,3,0,17,0,16
G000577,newsletters,5,2,5,0,27,0,14
G000577,statements,10,10,12,9,25,0,12
G000577,tweets,0,0,0,0,0,0,0
G000578,floor,3,0,3,1,18,16,8
G000578,newsletters,63,1,17,23,92,15,33
G000578,statements,40,2,5,10,85,67,44
G000578,tweets,2,0,0,1,1,0,0
G000579,floor,0,0,0,0,0,0,1
G000579,newsletters,0,0,0,0,0,0,0
G000579,statements,2,0,1,0,5,9,1
G000579,tweets,0,0,0,0,0,0,0
G000581,newsletters,1,2,10,0,33,2,9
G000581,statements,260,222,73,245,202,15,89
G000581,tweets,0,1,1,0,2,0,1
G000582,floor,0,0,0,0,3,0,3
G000582,newsletters,0,3,5,0,48,2,24
G000582,tweets,0,0,0,0,1,0,0
G000583,floor,0,0,0,0,2,7,2
G000583,newsletters,0,10,12,0,18,0,11
G000583,tweets,0,4,4,18,7,18,3
G000585,floor,0,0,0,0,0,0,1
G000585,newsletters,0,0,0,0,8,0,2
G000585,tweets,0,0,0,0,1,0,0
G000586,floor,0,0,0,0,0,0,0
G000586,newsletters,2,1,1,0,13,0,6
G000586,tweets,1,0,0,0,2,0,0
G000587,floor,2,0,0,1,4,0,2
G000587,newsletters,0,0,0,0,2,0,0
G000587,tweets,2,0,0,0,2,0,0
G000589,floor,0,0,0,0,9,0,7
G000589,newsletters,20,0,0,0,18,4,1
G000590,newsletters,8,1,1,2,15,9,13
G000590,statements,11,9,2,9,8,0,8
G000590,tweets,2,0,0,1,3,1,0
G000591,floor,0,3,2,0,30,6,24
G000591,newsletters,6,0,11,0,26,4,20
G000592,newsletters,0,1,2,0,7,0,3
G000593,newsletters,60,8,24,11,138,108,50
G000593,tweets,1,3,2,1,6,0,1
G000594,newsletters,7,6,27,0,80,20,32
G000594,tweets,2,0,0,0,4,0,2
G000595,floor,12,0,3,2,20,2,9
G000595,newsletters,49,1,12,2,87,8,28
G000595,tweets,4,1,1,0,4,0,2
G000596,floor,25,0,0,3,30,15,6
G000596,newsletters,42,0,3,8,22,0,11
G000596,tweets,10,1,0,4,5,1,1
G000597,newsletters,11,3,17,0,57,11,28
G000597,tweets,0,0,1,0,1,0,1
G000598,floor,1,0,1,0,12,0,6
G000598,newsletters,0,0,2,0,13,0,6
G000599,floor,4,1,1,2,9,0,3
G000599,newsletters,5,0,14,0,110,4,33
G000600,floor,2,0,0,0,7,0,3
G000600,newsletters,0,4,7,0,4,0,2
H000273,floor,0,0,0,0,1,1,2
H000273,newsletters,3,0,2,0,4,0,0
H000273,tweets,1,2,2,0,3,0,1
H000601,newsletters,3,1,4,0,18,10,13
H000601,tweets,10,0,0,3,10,1,0
H000874,floor,0,0,0,0,0,0,0
H000874,tweets,4,2,1,0,8,0,2
H001038,floor,2,0,1,0,2,0,3
H001038,statements,7,29,42,0,94,11,42
H001038,tweets,0,1,0,0,3,0,1
H001042,floor,1,2,1,0,1,0,0
H001042,newsletters,0,3,3,0,31,0,10
H001042,tweets,0,0,0,0,0,0,0
H001046,newsletters,1,3,22,0,72,0,23
H001046,tweets,1,0,3,0,4,0,1
H001047,newsletters,1,1,7,0,18,0,11
H001047,tweets,0,0,0,0,0,0,0
H001052,newsletters,12,2,7,1,35,6,16
H001052,tweets,2,0,1,0,2,0,1
H001058,floor,0,2,0,0,7,0,8
H001058,newsletters,4,6,6,0,20,0,12
H001058,statements,39,54,60,3,280,38,124
H001058,tweets,0,0,0,0,0,0,0
H001061,floor,0,0,0,0,0,0,0
H001061,statements,2,0,0,0,7,0,3
H001061,tweets,0,0,1,0,0,0,0
H001066,floor,8,2,2,4,18,0,3
H001066,newsletters,6,4,8,2,34,2,8
H001066,statements,4,0,12,0,30,2,9
H001066,tweets,1,3,7,0,12,0,5
H001067,floor,0,0,0,0,0,0,0
H001067,newsletters,11,2,6,0,30,2,12
H001067,tweets,1,0,0,0,1,0,1
H001068,floor,0,0,1,0,0,0,2
H001068,newsletters,2,1,8,0,16,0,5
H001068,tweets,0,0,1,0,1,0,0
H001072,newsletters,1,1,19,0,40,5,21
H001072,tweets,0,0,0,0,0,0,0
H001076,floor,11,2,0,1,4,1,2
H001076,newsletters,1,15,25,0,45,4,26
H001076,tweets,0,0,2,0,1,0,0
H001077,floor,0,0,0,0,0,0,1
H001077,newsletters,0,0,0,0,0,0,0
H001077,tweets,0,0,0,0,0,0,0
H001079,floor,0,0,0,0,1,0,0
H001079,newsletters,1,1,2,0,8,0,3
H001079,tweets,0,0,0,0,0,0,0
H001081,newsletters,1,5,16,0,65,0,47
H001081,tweets,0,0,1,0,2,0,2
H001082,tweets,2,0,1,0,2,0,1
H001085,floor,1,0,0,1,1,0,2
H001085,newsletters,1,9,12,0,30,0,16
H001085,tweets,0,0,1,0,2,0,2
H001086,newsletters,4,1,2,0,15,0,9
H001086,tweets,2,0,1,0,2,0,1
H001089,floor,6,1,0,1,5,0,3
H001089,tweets,3,0,0,1,1,0,0
H001090,floor,0,0,0,0,4,0,1
H001090,newsletters,6,2,8,0,15,0,8
H001090,tweets,0,0,0,0,1,0,1
H001091,newsletters,15,6,9,1,71,18,38
H001091,tweets,3,3,2,0,7,0,3
H001093,floor,3,0,4,0,33,0,20
H001094,floor,0,2,1,0,5,0,4
H001095,newsletters,12,1,2,5,17,0,5
H001096,newsletters,53,2,16,11,97,5,65
I000056,floor,1,0,0,0,5,0,2
I000056,newsletters,1,0,3,0,12,6,8
I000056,tweets,0,0,0,0,0,0,0
J000032,floor,40,20,10,1,310,26,162
J000032,statements,0,0,0,0,0,0,0
J000032,tweets,1,0,2,0,7,3,1
J000288,floor,1,5,0,1,38,0,15
J000288,newsletters,2,0,5,0,21,0,12
J000288,statements,13,9,2,10,37,6,12
J000288,tweets,1,0,0,0,0,0,0
J000289,tweets,0,0,0,0,0,0,0
J000292,floor,0,0,0,0,10,1,5
J000292,newsletters,29,3,11,2,58,8,21
J000292,statements,11,19,17,0,101,19,61
J000292,tweets,0,0,0,0,0,0,0
J000293,newsletters,7,5,2,2,19,7,7
J000293,tweets,2,0,0,0,1,0,0
J000294,floor,0,0,0,0,0,0,0
J000294,newsletters,1,0,0,0,5,0,1
J000294,statements,54,20,16,23,60,10,21
J000294,tweets,1,1,0,1,1,0,1
J000295,floor,0,0,0,0,4,0,2
J000295,newsletters,3,10,25,0,77,18,48
J000295,statements,0,3,2,0,23,0,19
J000295,tweets,0,1,1,0,1,0,0
J000298,floor,0,0,1,0,8,0,4
J000298,statements,44,19,19,4,378,34,226
J000298,tweets,11,0,1,1,10,0,1
J000299,floor,5,0,5,0,15,0,11
J000299,newsletters,12,0,4,2,11,3,7
J000299,tweets,3,0,0,1,2,1,0
J000301,floor,0,0,0,0,3,0,0
J000301,newsletters,9,3,12,1,34,22,24
J000301,tweets,0,0,1,0,1,0,0
J000302,floor,12,0,1,0,21,2,5
J000302,newsletters,13,2,13,0,79,5,36
J000302,tweets,3,0,0,0,2,0,1
J000304,floor,2,0,0,0,11,1,7
J000304,newsletters,17,0,8,3,38,2,26
J000304,tweets,1,0,0,0,0,1,0
J000305,floor,1,0,0,1,6,0,4
J000305,tweets,1,0,1,0,4,1,1
J000307,floor,0,1,0,0,23,4,17
J000307,newsletters,4,4,15,0,36,8,21
